场景,非神经网络基线,AUC,TPR@FPR5%,Best_F1
结构修复,逐通道 z-score max,0.6361,0.26,0.6877
结构修复,Ledoit-Wolf Mahalanobis,0.8695,0.59,0.7928
结构修复,One-Class SVM,0.5233,0.0,0.6712
结构修复,Isolation Forest,0.4901,0.0,0.6758
传感器迁移,逐通道 z-score max,0.7128,0.38,0.6917
传感器迁移,Ledoit-Wolf Mahalanobis,0.6624,0.06,0.7027
传感器迁移,One-Class SVM,0.5633,0.15,0.6761
传感器迁移,Isolation Forest,0.5826,0.12,0.6667
传感器漂移,逐通道 z-score max,0.7128,0.38,0.6917
传感器漂移,Ledoit-Wolf Mahalanobis,0.6627,0.06,0.6977
传感器漂移,One-Class SVM,0.5643,0.13,0.678
传感器漂移,Isolation Forest,0.5819,0.12,0.6667
